value	symbol1	symbol2	class1	class2
0.7833494518006406	DUXA	ZNF264	Homeo domain factors	C2H2 zinc finger factors
0.6546536707079771	MYRFL	ETV3L	NDT80 domain factors	Tryptophan cluster factors
0.5700877125495689	CSRNP2	ZNF500	AXUD/CSRNP domain factors	C2H2 zinc finger factors
0.5198266334512448	BORCS8-MEF2B	PROX2	MADS box factors	Homeo domain factors
0.5004139736699607	BCL11B	TBR1	C2H2 zinc finger factors	T-Box factors
0.4914034382397221	STAT3	NFKB1	STAT domain factors	Rel homology region (RHR) factors
0.4756997082610132	MYC	TP53	Basic helix-loop-helix factors (bHLH)	p53 domain factors
0.4753729174324822	HIF1A	STAT3	Basic helix-loop-helix factors (bHLH)	STAT domain factors
0.4693579962529179	TAL1	GATA1	Basic helix-loop-helix factors (bHLH)	Other C4 zinc finger-type factors
0.4584330035168174	PRDM12	PRDM15	Uncharacterized	C2H2 zinc finger factors
0.4497318628009165	EPAS1	HIF1A	Basic leucine zipper factors (bZIP)	Basic helix-loop-helix factors (bHLH)
0.4488896267447487	NFE2L2	NFKB1	Basic leucine zipper factors (bZIP)	Rel homology region (RHR) factors
0.4472135954999579	FOXB2	ZNF883	Fork head / winged helix factors	Uncharacterized
0.4396267355433287	SP7	RUNX2	C2H2 zinc finger factors	Runt domain factors
0.4374068891725131	PAX6	ISL1	Paired box factors	Homeo domain factors
0.437212538030378	NKX2-5	GATA4	Homeo domain factors	Other C4 zinc finger-type factors
0.4321847832349328	PAX2	EGR2	Paired box factors	C2H2 zinc finger factors
0.4240369578639071	SPI1	GATA1	Tryptophan cluster factors	Other C4 zinc finger-type factors
0.4234151591787102	POU6F2	BORCS8-MEF2B	Homeo domain factors	MADS box factors
0.4225771273642583	ZNF835	CSRNP3	C2H2 zinc finger factors	AXUD/CSRNP domain factors
0.4199819515766668	ZNF679	DMRTB1	C2H2 zinc finger factors	DM-type intertwined zinc finger factors
0.4153132798136547	SATB2	BCL11B	Homeo domain factors	C2H2 zinc finger factors
0.4128109240758247	PDX1	NEUROG3	Homeo domain factors	Basic helix-loop-helix factors (bHLH)
0.4114888789934837	SOX2	PAX6	High-mobility group (HMG) domain factors	Paired box factors
0.4102773338167755	OLIG2	NKX2-2	Basic helix-loop-helix factors (bHLH)	Homeo domain factors
0.40824829046386296	SEBOX	ZNF556	Homeo domain factors	C2H2 zinc finger factors
0.4048881650894581	ADNP2	ZNF780A	Homeo domain factors	C2H2 zinc finger factors
0.3971665820548073	MESP2	UNCX	Basic helix-loop-helix factors (bHLH)	Homeo domain factors
0.3941780613961432	ZNF260	SKIDA1	C2H2 zinc finger factors	Uncharacterized
0.3932139793061901	FOXP3	STAT3	Fork head / winged helix factors	STAT domain factors
0.3923474203620064	HNF4A	HNF1A	Nuclear receptors with C4 zinc fingers	Homeo domain factors
0.3901909749221532	OTX2	PAX2	Homeo domain factors	Paired box factors
0.3887669429964693	EMX1	TBR1	Homeo domain factors	T-Box factors
0.3871682296535445	MYB	RUNX1	Tryptophan cluster factors	Runt domain factors
0.3854730993209315	TBX5	NKX2-5	T-Box factors	Homeo domain factors
0.37565179854201897	IRF1	STAT1	Tryptophan cluster factors	STAT domain factors
0.3745029431365692	TCF24	ZNF391	Basic helix-loop-helix factors (bHLH)	C2H2 zinc finger factors
0.3714886173456078	IRF5	STAT4	Tryptophan cluster factors	STAT domain factors
0.3670875474342804	FOXA2	NKX2-2	Fork head / winged helix factors	Homeo domain factors
0.3668996928526714	ZBTB39	ZFHX2	C2H2 zinc finger factors	Homeo domain factors
0.3664336567521557	AHR	NFE2L2	Basic helix-loop-helix factors (bHLH)	Basic leucine zipper factors (bZIP)
0.36329248857073004	EGR1	FOS	C2H2 zinc finger factors	Basic leucine zipper factors (bZIP)
0.36074504334969015	ZSCAN21	ZNF708	C2H2 zinc finger factors	Uncharacterized
0.3534038006024117	HAND2	NKX2-5	Basic helix-loop-helix factors (bHLH)	Homeo domain factors
0.3533781387953876	TBX21	FOXP3	T-Box factors	Fork head / winged helix factors
0.3503245248726854	USF3	ZNF468	Basic helix-loop-helix factors (bHLH)	C2H2 zinc finger factors
0.35023639845788995	ZNF280B	SKIDA1	C2H2 zinc finger factors	Uncharacterized
0.3422405428512632	HOXB1	EGR2	Homeo domain factors	C2H2 zinc finger factors
0.33944845147452635	TBXT	FOXA2	T-Box factors	Fork head / winged helix factors
0.3389463976313626	GSC	MYOD1	Homeo domain factors	Basic helix-loop-helix factors (bHLH)
0.33715774787405484	CRX	NRL	Homeo domain factors	Basic leucine zipper factors (bZIP)
0.33364515567166736	E2F1	MYC	Fork head / winged helix factors	Basic helix-loop-helix factors (bHLH)
0.33340569485233035	ELF5	ZNF594	Tryptophan cluster factors	C2H2 zinc finger factors
0.3326117873091988	NEUROD6	EMX1	Basic helix-loop-helix factors (bHLH)	Homeo domain factors
0.3302509200862115	FLI1	TAL1	Tryptophan cluster factors	Basic helix-loop-helix factors (bHLH)
0.32875466391488123	PTF1A	PDX1	Basic helix-loop-helix factors (bHLH)	Homeo domain factors
0.3268404069287938	WT1	SOX9	C2H2 zinc finger factors	High-mobility group (HMG) domain factors
0.3247735579006715	NKX2-1	PAX6	Homeo domain factors	Paired box factors
0.3241763593892432	MKX	ZNF732	Homeo domain factors	C2H2 zinc finger factors
0.3216337604513385	CREBL2	ZNF620	Basic leucine zipper factors (bZIP)	C2H2 zinc finger factors
0.3212231466133504	FOXG1	EMX1	Fork head / winged helix factors	Homeo domain factors
0.3209715167282991	ZBTB46	BATF3	C2H2 zinc finger factors	Basic leucine zipper factors (bZIP)
0.31795430406007896	TWIST1	SNAI1	Basic helix-loop-helix factors (bHLH)	C2H2 zinc finger factors
0.3160864093370961	PAX9	MSX1	Paired box factors	Homeo domain factors
0.3155900959506869	FOXJ2	ZNF76	Fork head / winged helix factors	C2H2 zinc finger factors
0.3146532482312364	TCF7L2	PPARG	High-mobility group (HMG) domain factors	Nuclear receptors with C4 zinc fingers
0.31428091185703383	DBX1	NEUROG2	Homeo domain factors	Basic helix-loop-helix factors (bHLH)
0.3142176183856732	RORC	FOXP3	Nuclear receptors with C4 zinc fingers	Fork head / winged helix factors
0.3131160310429142	RBPJ	SMAD1	Rel homology region (RHR) factors	SMAD/NF-1 DNA-binding domain factors
0.31301652892562	NR2E3	NRL	Nuclear receptors with C4 zinc fingers	Basic leucine zipper factors (bZIP)
0.3121040382630767	ETV6	RUNX1	Tryptophan cluster factors	Runt domain factors
0.3103520709777834	ATOH7	POU4F2	Basic helix-loop-helix factors (bHLH)	Homeo domain factors
0.30471305147102673	PROX1	PAX6	Homeo domain factors	Paired box factors
0.3042845398370061	FOXD3	SOX10	Fork head / winged helix factors	High-mobility group (HMG) domain factors
0.30369403054816835	FOXL1	ZBTB40	Fork head / winged helix factors	C2H2 zinc finger factors
