value	symbol1	symbol2	class1	class2
5.780981146099386	STAT5B	STAT5A	STAT domain factors	STAT domain factors
5.707542568671131	ESR2	ESR1	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
5.523080526480938	SMAD3	SMAD2	SMAD/NF-1 DNA-binding domain factors	SMAD/NF-1 DNA-binding domain factors
5.521054978240533	GLI3	GLI2	C2H2 zinc finger factors	C2H2 zinc finger factors
5.4952721430119835	DLX6	DLX5	Homeo domain factors	Homeo domain factors
5.432130708306137	SMAD1	SMAD5	SMAD/NF-1 DNA-binding domain factors	SMAD/NF-1 DNA-binding domain factors
5.429899472817082	GLI1	GLI2	C2H2 zinc finger factors	C2H2 zinc finger factors
5.296067684756461	DLX2	DLX1	Homeo domain factors	Homeo domain factors
5.281067453744849	USF1	USF2	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
5.278373752229289	OLIG2	OLIG1	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
5.275423393729379	SP1	SP3	C2H2 zinc finger factors	C2H2 zinc finger factors
5.240791098185799	HES1	HES5	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
5.219820036716722	MSX2	MSX1	Homeo domain factors	Homeo domain factors
5.186704220120519	IRF3	IRF7	Tryptophan cluster factors	Tryptophan cluster factors
5.169140299191085	NR1H2	NR1H3	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
5.120077483356812	TBX3	TBX2	T-Box factors	T-Box factors
5.116629492552796	OTX1	OTX2	Homeo domain factors	Homeo domain factors
5.077890856075688	AHR	ARNT	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
5.072558210918281	SMAD4	SMAD2	SMAD/NF-1 DNA-binding domain factors	SMAD/NF-1 DNA-binding domain factors
5.066263774990468	GATA4	GATA6	Other C4 zinc finger-type factors	Other C4 zinc finger-type factors
5.060854502217459	NKX2-5	GATA4	Homeo domain factors	Other C4 zinc finger-type factors
5.049212524198431	PHOX2A	PHOX2B	Homeo domain factors	Homeo domain factors
5.02306455336526	PAX7	PAX3	Paired box factors	Paired box factors
5.022158147482339	ETV4	ETV5	Tryptophan cluster factors	Tryptophan cluster factors
4.977324271971672	ARNTL	CLOCK	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.958279850168445	STAT2	STAT1	STAT domain factors	STAT domain factors
4.954750697333336	NEUROG3	PDX1	Basic helix-loop-helix factors (bHLH)	Homeo domain factors
4.92402763046075	JUN	FOS	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
4.9177534565485255	HAND1	HAND2	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.898168199436274	EMX2	EMX1	Homeo domain factors	Homeo domain factors
4.885605051128061	HSF1	HSF2	Heat shock factors	Heat shock factors
4.8682133231353335	HNF4A	HNF1A	Nuclear receptors with C4 zinc fingers	Homeo domain factors
4.853508586235987	GBX2	OTX2	Homeo domain factors	Homeo domain factors
4.845445466532892	CDX1	CDX2	Homeo domain factors	Homeo domain factors
4.845172373025214	PAX9	MSX1	Paired box factors	Homeo domain factors
4.838648381115912	E2F2	E2F1	Fork head / winged helix factors	Fork head / winged helix factors
4.836467990475139	TBX5	NKX2-5	T-Box factors	Homeo domain factors
4.82566569205773	JUNB	JUN	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
4.812295956575129	FOXO3	FOXO1	Fork head / winged helix factors	Fork head / winged helix factors
4.808485863638213	REL	RELA	Rel homology region (RHR) factors	Rel homology region (RHR) factors
4.804466992278886	JUND	JUN	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
4.802203954877183	GTF2I	GTF2IRD1	Uncharacterized	Uncharacterized
4.786396050156331	MAFK	MAFG	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
4.7687907834146674	E2F3	E2F2	Fork head / winged helix factors	Fork head / winged helix factors
4.768461033240646	MYF5	MYOD1	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.752726916363941	SIX1	SIX4	Homeo domain factors	Homeo domain factors
4.73246717749473	POU5F1	SOX2	Homeo domain factors	High-mobility group (HMG) domain factors
4.72945742622403	SOX11	SOX4	High-mobility group (HMG) domain factors	High-mobility group (HMG) domain factors
4.724067239949148	MYC	MAX	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.713963232432615	MEF2D	MEF2A	MADS box factors	MADS box factors
4.706682127226449	NANOG	SOX2	Homeo domain factors	High-mobility group (HMG) domain factors
4.696530204231513	FOXA1	FOXA2	Fork head / winged helix factors	Fork head / winged helix factors
4.683146466455298	EN1	EN2	Homeo domain factors	Homeo domain factors
4.680520274628371	SOX6	SOX5	High-mobility group (HMG) domain factors	High-mobility group (HMG) domain factors
4.677799080770084	MAFA	PDX1	Basic leucine zipper factors (bZIP)	Homeo domain factors
4.645127478108844	PTF1A	PDX1	Basic helix-loop-helix factors (bHLH)	Homeo domain factors
4.643390983715838	POU1F1	PROP1	Homeo domain factors	Homeo domain factors
4.6403323305757285	HEY1	HEY2	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.638070807291028	PAX8	PAX2	Paired box factors	Paired box factors
4.637800557433518	IRF9	STAT2	Tryptophan cluster factors	STAT domain factors
4.628407170109741	FOXO4	FOXO3	Fork head / winged helix factors	Fork head / winged helix factors
4.591856866791459	NR4A1	NR4A3	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
4.591331086884087	THRA	THRB	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
4.580366648999873	HOXB1	HOXA1	Homeo domain factors	Homeo domain factors
4.572494115009987	HEYL	HEY1	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.5667674515700885	MYOG	MYOD1	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.5551055084119625	MEF2C	MEF2A	MADS box factors	MADS box factors
4.548709012580728	STAT6	STAT4	STAT domain factors	STAT domain factors
4.547202452786926	XBP1	ATF6	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
4.5463412259058025	TFE3	TFEB	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.528467170461402	RUNX3	RUNX1	Runt domain factors	Runt domain factors
4.526911898369135	HHEX	TCF7L2	Homeo domain factors	High-mobility group (HMG) domain factors
4.526572268257592	PGR	ESR1	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
4.51991155717947	ZEB2	ZEB1	Homeo domain factors	Homeo domain factors
4.51891194362163	SNAI2	SNAI1	C2H2 zinc finger factors	C2H2 zinc finger factors
4.516829930154578	NFKB1	RELA	Rel homology region (RHR) factors	Rel homology region (RHR) factors
4.505143933418966	TAL1	GATA1	Basic helix-loop-helix factors (bHLH)	Other C4 zinc finger-type factors
4.496144506616468	NKX6-1	PDX1	Homeo domain factors	Homeo domain factors
