value	symbol1	symbol2	class1	class2
5.060854502217459	NKX2-5	GATA4	Homeo domain factors	Other C4 zinc finger-type factors
4.954750697333336	NEUROG3	PDX1	Basic helix-loop-helix factors (bHLH)	Homeo domain factors
4.8682133231353335	HNF4A	HNF1A	Nuclear receptors with C4 zinc fingers	Homeo domain factors
4.845172373025214	PAX9	MSX1	Paired box factors	Homeo domain factors
4.836467990475139	TBX5	NKX2-5	T-Box factors	Homeo domain factors
4.73246717749473	POU5F1	SOX2	Homeo domain factors	High-mobility group (HMG) domain factors
4.706682127226449	NANOG	SOX2	Homeo domain factors	High-mobility group (HMG) domain factors
4.677799080770084	MAFA	PDX1	Basic leucine zipper factors (bZIP)	Homeo domain factors
4.645127478108844	PTF1A	PDX1	Basic helix-loop-helix factors (bHLH)	Homeo domain factors
4.637800557433518	IRF9	STAT2	Tryptophan cluster factors	STAT domain factors
4.526911898369135	HHEX	TCF7L2	Homeo domain factors	High-mobility group (HMG) domain factors
4.505143933418966	TAL1	GATA1	Basic helix-loop-helix factors (bHLH)	Other C4 zinc finger-type factors
4.470320703483235	SP7	RUNX2	C2H2 zinc finger factors	Runt domain factors
4.450201021381369	NRL	CRX	Basic leucine zipper factors (bZIP)	Homeo domain factors
4.379025046204585	PITX2	FOXC1	Homeo domain factors	Fork head / winged helix factors
4.368107107089061	SOX10	OLIG2	High-mobility group (HMG) domain factors	Basic helix-loop-helix factors (bHLH)
4.301227284578412	IRF1	STAT1	Tryptophan cluster factors	STAT domain factors
4.288991423330954	SIX3	PAX6	Homeo domain factors	Paired box factors
4.274683436489894	EPAS1	HIF1A	Basic leucine zipper factors (bZIP)	Basic helix-loop-helix factors (bHLH)
4.160086975400113	NR2E3	NRL	Nuclear receptors with C4 zinc fingers	Basic leucine zipper factors (bZIP)
4.14155835986361	SPI1	GATA1	Tryptophan cluster factors	Other C4 zinc finger-type factors
4.114091840211172	FOXD3	SOX10	Fork head / winged helix factors	High-mobility group (HMG) domain factors
4.085893785642938	MITF	SOX10	Basic helix-loop-helix factors (bHLH)	High-mobility group (HMG) domain factors
4.076354545376605	RBPJ	HES1	Rel homology region (RHR) factors	Basic helix-loop-helix factors (bHLH)
4.072052352763254	TBR1	PAX6	T-Box factors	Paired box factors
4.068564236083779	SALL1	SIX2	C2H2 zinc finger factors	Homeo domain factors
4.043434918873248	ATOH7	POU4F2	Basic helix-loop-helix factors (bHLH)	Homeo domain factors
4.020722753664459	ZFY	ZFX	Uncharacterized	C2H2 zinc finger factors
3.9788762157157285	NKX2-2	OLIG2	Homeo domain factors	Basic helix-loop-helix factors (bHLH)
3.973174756983613	NR1D1	CLOCK	Nuclear receptors with C4 zinc fingers	Basic helix-loop-helix factors (bHLH)
3.897033056220924	KLF4	SOX2	C2H2 zinc finger factors	High-mobility group (HMG) domain factors
3.880640548023312	PAX5	EBF1	Paired box factors	Rel homology region (RHR) factors
3.875802847975724	SP8	GSX2	C2H2 zinc finger factors	Homeo domain factors
3.8698560059061036	FOXL2	SOX9	Fork head / winged helix factors	High-mobility group (HMG) domain factors
3.821465934291154	NKX2-1	PAX8	Homeo domain factors	Paired box factors
3.7926623133346267	PROX1	PAX6	Homeo domain factors	Paired box factors
3.7888716628293664	FOXN1	GCM2	Fork head / winged helix factors	GCM domain factors
3.7807101371539242	DBP	CLOCK	Basic leucine zipper factors (bZIP)	Basic helix-loop-helix factors (bHLH)
3.779215797311304	IRF5	STAT4	Tryptophan cluster factors	STAT domain factors
3.727208811335463	SKI	SMAD3	Uncharacterized	SMAD/NF-1 DNA-binding domain factors
3.703360211801883	VSX2	PAX6	Homeo domain factors	Paired box factors
3.674708919141741	WT1	PAX2	C2H2 zinc finger factors	Paired box factors
