	pmid	homo+pmid	zscore_pmid	zscore_homo+pmid
1	75842	119901.0	9.745038120678329	8.237552561163438
2	10897	31452.0	1.2982108683410627	2.0406030085874294
3	2235	8843.0	0.17162040472191722	0.45656212136212476
4	662	4934.0	-0.03296592629550552	0.18268818495787356
5	305	2495.0	-0.07939778908839804	0.01180598212083884
6	176	1900.0	-0.09617568908919112	-0.029881148132558315
7	76	1222.0	-0.10918181312081368	-0.07738345790029491
8	55	881.0	-0.11191309916745441	-0.10127473759173765
9	48	661.0	-0.112823527849668	-0.11668846642492652
10	34	448.0	-0.11464438521409515	-0.13161175843160483
11	27	367.0	-0.11555481389630873	-0.13728681313836982
12	26	287.0	-0.11568487513662495	-0.14289180544134758
13	12	221.0	-0.1175057325010521	-0.14751592409130423
14	10	165.0	-0.11776585498168456	-0.15143941870338867
15	14	114.0	-0.11724561002041967	-0.15501260129653702
16	11	95.0	-0.11763579374136833	-0.1563437869684942
17	21	66.0	-0.11633518133820608	-0.15837559667832365
18	12	55.0	-0.1175057325010521	-0.1591462831199831
19	9	40.0	-0.11789591622200078	-0.16019721917679144
20	4	40.0	-0.11854622242358191	-0.16019721917679144
21	4	24.0	-0.11854622242358191	-0.161318217637387
22	9	32.0	-0.11789591622200078	-0.16075771840708922
23	7	30.0	-0.11815603870263323	-0.16089784321466366
24	3	15.0	-0.11867628366389814	-0.161948779271472
25	3	16.0	-0.11867628366389814	-0.16187871686768476
26	5	14.0	-0.11841616118326569	-0.1620188416752592
27	9	16.0	-0.11789591622200078	-0.16187871686768476
28	6	13.0	-0.11828609994294946	-0.16208890407904644
29	4	6.0	-0.11854622242358191	-0.16257934090555698
30	2	9.0	-0.11880634490421436	-0.16236915369419533
31	2	6.0	-0.11880634490421436	-0.16257934090555698
32	3	9.0	-0.11867628366389814	-0.16236915369419533
33	6	5.0	-0.11828609994294946	-0.16264940330934421
34	1	3.0	-0.11893640614453059	-0.16278952811691866
35	3	4.0	-0.11867628366389814	-0.16271946571313142
36	4	3.0	-0.11854622242358191	-0.16278952811691866
38	3	7.0	-0.11867628366389814	-0.16250927850176977
39	4	10.0	-0.11854622242358191	-0.1622990912904081
40	3	7.0	-0.11867628366389814	-0.16250927850176977
41	1	2.0	-0.11893640614453059	-0.1628595905207059
42	2	2.0	-0.11880634490421436	-0.1628595905207059
43	4	6.0	-0.11854622242358191	-0.16257934090555698
44	3	4.0	-0.11867628366389814	-0.16271946571313142
45	1	3.0	-0.11893640614453059	-0.16278952811691866
46	1	3.0	-0.11893640614453059	-0.16278952811691866
47	1	2.0	-0.11893640614453059	-0.1628595905207059
49	1	1.0	-0.11893640614453059	-0.1629296529244931
50	1	3.0	-0.11893640614453059	-0.16278952811691866
51	2	2.0	-0.11880634490421436	-0.1628595905207059
53	2	1.0	-0.11880634490421436	-0.1629296529244931
55	1	1.0	-0.11893640614453059	-0.1629296529244931
58	2	2.0	-0.11880634490421436	-0.1628595905207059
59	1	4.0	-0.11893640614453059	-0.16271946571313142
60	1	2.0	-0.11893640614453059	-0.1628595905207059
61	1	2.0	-0.11893640614453059	-0.1628595905207059
63	1	1.0	-0.11893640614453059	-0.1629296529244931
64	2	2.0	-0.11880634490421436	-0.1628595905207059
67	2	2.0	-0.11880634490421436	-0.1628595905207059
69	1	1.0	-0.11893640614453059	-0.1629296529244931
72	2	3.0	-0.11880634490421436	-0.16278952811691866
81	1		-0.11893640614453059	
82	2		-0.11880634490421436	
83	1	3.0	-0.11893640614453059	-0.16278952811691866
89	1	2.0	-0.11893640614453059	-0.1628595905207059
90	1	1.0	-0.11893640614453059	-0.1629296529244931
92	1	1.0	-0.11893640614453059	-0.1629296529244931
96	2	2.0	-0.11880634490421436	-0.1628595905207059
99	1	2.0	-0.11893640614453059	-0.1628595905207059
100	1	1.0	-0.11893640614453059	-0.1629296529244931
102	1	1.0	-0.11893640614453059	-0.1629296529244931
103	1		-0.11893640614453059	
125	1		-0.11893640614453059	
126	1	2.0	-0.11893640614453059	-0.1628595905207059
130	1	1.0	-0.11893640614453059	-0.1629296529244931
133	1	2.0	-0.11893640614453059	-0.1628595905207059
142	1		-0.11893640614453059	
146	1		-0.11893640614453059	
157	1	1.0	-0.11893640614453059	-0.1629296529244931
174	1	1.0	-0.11893640614453059	-0.1629296529244931
181	1		-0.11893640614453059	
190	1		-0.11893640614453059	
191	1	1.0	-0.11893640614453059	-0.1629296529244931
192	1		-0.11893640614453059	
194	1	1.0	-0.11893640614453059	-0.1629296529244931
205	1		-0.11893640614453059	
219	1		-0.11893640614453059	
241	1		-0.11893640614453059	
300	1		-0.11893640614453059	
359	1		-0.11893640614453059	
365	1		-0.11893640614453059	
518	1		-0.11893640614453059	
530	1		-0.11893640614453059	
648	1		-0.11893640614453059	
657	1		-0.11893640614453059	
717	1		-0.11893640614453059	
769	1		-0.11893640614453059	
793	1		-0.11893640614453059	
1244	1		-0.11893640614453059	
1370	1		-0.11893640614453059	
