TCF25	0.0.1.0
PHF5A	0.0.2.0
RFXANK	0.0.3.0
RFXAP	0.0.4.0
PURB	0.0.5.0
PURA	0.0.5.0
PURG	0.0.5.0
CSRNP2	0.1.1.0
CSRNP1	0.1.1.0
CSRNP3	0.1.1.0
PSPC1	0.2.1.0
NONO	0.2.1.0
LRRFIP1	0.3.1.0
LRRFIP2	0.3.1.0
NFX1	0.4.1.0
NFXL1	0.4.1.0
JUNB	1.1.1.1
JUND	1.1.1.1
JUN	1.1.1.1
BACH2	1.1.1.2
BACH1	1.1.1.2
NFE2	1.1.1.2
NFE2L3	1.1.1.2
NFE2L2	1.1.1.2
NFE2L1	1.1.1.2
CREB5	1.1.1.3
ATF7	1.1.1.3
ATF2	1.1.1.3
FOS	1.1.2.1
FOSL1	1.1.2.1
FOSL2	1.1.2.1
FOSB	1.1.2.1
JDP2	1.1.2.2
ATF3	1.1.2.2
MAF	1.1.3.1
MAFB	1.1.3.1
NRL	1.1.3.1
KLRG1	1.1.3.1
MAFK	1.1.3.2
MAFF	1.1.3.2
MAFG	1.1.3.2
BATF2	1.1.4.0
BATF3	1.1.4.0
BATF	1.1.4.0
XBP1	1.1.5.0
ATF5	1.1.6.0
ATF4	1.1.6.0
CREM	1.1.7.1
CREB1	1.1.7.1
ATF1	1.1.7.1
CREB3	1.1.7.2
CREB3L2	1.1.7.2
CREB3L3	1.1.7.2
CREB3L1	1.1.7.2
CREB3L4	1.1.7.2
ATF6	1.1.7.3
ATF6B	1.1.7.3
CREBZF	1.1.7.4
CREBL2	1.1.7.5
DDIT3	1.1.8.1
CEBPB	1.1.8.1
CEBPA	1.1.8.1
CEBPG	1.1.8.1
CEBPE	1.1.8.1
CEBPD	1.1.8.1
DBP	1.1.8.2
TEF	1.1.8.2
EPAS1	1.1.8.2
NFIL3	1.1.8.2
TCF4	1.2.1.0
TCF3	1.2.1.0
TCF12	1.2.1.0
MYF5	1.2.2.1
MYF6	1.2.2.1
MYOD1	1.2.2.1
MYOG	1.2.2.1
ASCL2	1.2.2.2
ASCL3	1.2.2.2
ASCL1	1.2.2.2
ASCL4	1.2.2.2
ASCL5	1.2.2.2
HENMT1	1.2.3.1
LYL1	1.2.3.1
TAL1	1.2.3.1
TAL2	1.2.3.1
NHLH2	1.2.3.1
SCX	1.2.3.2
PTF1A	1.2.3.2
HAND1	1.2.3.2
HAND2	1.2.3.2
TWIST1	1.2.3.2
TWIST2	1.2.3.2
TCF15	1.2.3.2
FIGLA	1.2.3.2
MSGN1	1.2.3.3
MESP1	1.2.3.3
MESP2	1.2.3.3
MSC	1.2.3.3
TCF21	1.2.3.3
TCF23	1.2.3.3
OLIG2	1.2.3.4
OLIG3	1.2.3.4
OLIG1	1.2.3.4
BHLHA15	1.2.3.4
ATOH7	1.2.3.4
ATOH1	1.2.3.4
ATOH8	1.2.3.4
FERD3L	1.2.3.4
NEUROG3	1.2.3.4
NEUROG2	1.2.3.4
NEUROG1	1.2.3.4
BHLHE22	1.2.3.4
BHLHE23	1.2.3.4
NEUROD2	1.2.3.4
NEUROD1	1.2.3.4
NEUROD6	1.2.3.4
NEUROD4	1.2.3.4
BHLHA9	1.2.3.5
HELT	1.2.4.1
GATD3A	1.2.4.1
HEY2	1.2.4.1
HEY1	1.2.4.1
HES2	1.2.4.1
HES3	1.2.4.1
HES4	1.2.4.1
HES5	1.2.4.1
HES6	1.2.4.1
HES7	1.2.4.1
HEYL	1.2.4.1
BHLHE40	1.2.4.1
BHLHE41	1.2.4.1
HIF3A	1.2.5.1
HIF1A	1.2.5.1
AHR	1.2.5.1
SIM2	1.2.5.1
SIM1	1.2.5.1
AHRR	1.2.5.1
NPAS3	1.2.5.1
NPAS1	1.2.5.1
ARNT	1.2.5.2
NPAS2	1.2.5.2
ARNTL	1.2.5.2
ARNT2	1.2.5.2
CLOCK	1.2.5.2
ARNTL2	1.2.5.2
NCOA2	1.2.5.3
NCOA3	1.2.5.3
NCOA1	1.2.5.3
NPAS4	1.2.5.4
TCFL5	1.2.5.5
SOHLH1	1.2.5.5
SOHLH2	1.2.5.5
TFE3	1.2.6.1
TFEC	1.2.6.1
TFEB	1.2.6.1
MITF	1.2.6.1
USF2	1.2.6.2
USF1	1.2.6.2
SREBF2	1.2.6.3
SREBF1	1.2.6.3
TFAP4	1.2.6.4
MAX	1.2.6.5
MYCN	1.2.6.5
MYCL	1.2.6.5
MYC	1.2.6.5
MLXIP	1.2.6.6
MLX	1.2.6.6
MLXIPL	1.2.6.6
MNT	1.2.6.7
MXI1	1.2.6.7
MGA	1.2.6.7
MXD4	1.2.6.7
MXD3	1.2.6.7
MXD1	1.2.6.7
ID4	1.2.8.0
ID2	1.2.8.0
ID3	1.2.8.0
ID1	1.2.8.0
TFAP2A	1.3.1.0
TFAP2C	1.3.1.0
TFAP2B	1.3.1.0
TFAP2E	1.3.1.0
TFAP2D	1.3.1.0
PGR	2.1.1.1
NR3C2	2.1.1.1
NR3C1	2.1.1.1
AKR1B1	2.1.1.1
ESRRG	2.1.1.2
ESR2	2.1.1.2
ESR1	2.1.1.2
ESRRA	2.1.1.2
ESRRB	2.1.1.2
RARA	2.1.2.1
RARB	2.1.2.1
RARG	2.1.2.1
THRB	2.1.2.2
THRA	2.1.2.2
NR1D2	2.1.2.3
NR1D1	2.1.2.3
CXADR	2.1.2.4
NR1I2	2.1.2.4
VDR	2.1.2.4
PPARG	2.1.2.5
PPARD	2.1.2.5
PPARA	2.1.2.5
RORC	2.1.2.6
RORB	2.1.2.6
RORA	2.1.2.6
NR1H4	2.1.2.7
NR1H2	2.1.2.7
NR1H3	2.1.2.7
RXRG	2.1.3.1
RXRA	2.1.3.1
RXRB	2.1.3.1
HNF4G	2.1.3.2
HNF4A	2.1.3.2
CD46	2.1.3.3
NR2E3	2.1.3.3
TAS1R2	2.1.3.4
NR2C2	2.1.3.4
NR2F6	2.1.3.5
NR2F1	2.1.3.5
NR4A2	2.1.4.0
NR4A3	2.1.4.0
NR4A1	2.1.4.0
NR5A2	2.1.5.0
NR6A1	2.1.6.0
NR0B2	2.1.7.0
NR0B1	2.1.7.0
GATA6	2.2.1.1
GATA4	2.2.1.1
GATA5	2.2.1.1
GATA2	2.2.1.1
GATA3	2.2.1.1
GATA1	2.2.1.1
RERE	2.2.1.2
DNMT3B	2.2.1.2
DNMT3A	2.2.1.2
DNMT3L	2.2.1.2
GATAD1	2.2.1.2
ATRX	2.2.1.2
GATAD2B	2.2.1.2
GATAD2A	2.2.1.2
ZGLP1	2.2.1.2
TRPS1	2.2.1.2
MTA1	2.2.1.2
MTA2	2.2.1.2
MTA3	2.2.1.2
SP8	2.3.1.1
SP9	2.3.1.1
SP1	2.3.1.1
SP2	2.3.1.1
SP3	2.3.1.1
SP4	2.3.1.1
SP5	2.3.1.1
SP6	2.3.1.1
SP7	2.3.1.1
KLF7	2.3.1.2
KLF6	2.3.1.2
KLF5	2.3.1.2
KLF4	2.3.1.2
KLF3	2.3.1.2
KLF2	2.3.1.2
KLF1	2.3.1.2
KLF9	2.3.1.2
KLF8	2.3.1.2
KLF13	2.3.1.2
KLF12	2.3.1.2
KLF11	2.3.1.2
KLF10	2.3.1.2
KLF17	2.3.1.2
KLF16	2.3.1.2
KLF15	2.3.1.2
KLF14	2.3.1.2
EGR2	2.3.1.3
EGR3	2.3.1.3
EGR1	2.3.1.3
EGR4	2.3.1.3
ZBTB33	2.3.2.1
ZBTB8B	2.3.2.1
ZBTB43	2.3.2.1
ZBTB46	2.3.2.1
ZBTB5	2.3.2.1
ZBTB22	2.3.2.1
ZBTB32	2.3.2.1
ZBTB34	2.3.2.1
ZBTB37	2.3.2.1
ZNF487	2.3.2.2
ZNF705A	2.3.2.2
ZSCAN1	2.3.2.3
ZNF174	2.3.2.3
ZNF396	2.3.2.3
ZNF446	2.3.2.3
OVOL3	2.3.2.4
OSER1	2.3.2.4
AEBP2	2.3.2.4
ZNF511	2.3.2.4
ZNF740	2.3.2.4
ZNF414	2.3.2.4
ZFPM2	2.3.2.4
ZNF580	2.3.2.4
ZNF879	2.3.3.0
ZNF707	2.3.3.0
ZNF43	2.3.3.0
ZNF677	2.3.3.0
ZNF676	2.3.3.0
ZNF454	2.3.3.0
ZNF408	2.3.3.0
ZFP64	2.3.3.0
ZNF596	2.3.3.0
ZNF594	2.3.3.0
ZNF114	2.3.3.0
ZNF337	2.3.3.0
ZNF331	2.3.3.0
ZNF7	2.3.3.0
ZSCAN30	2.3.3.0
ZFP90	2.3.3.0
ZNF584	2.3.3.0
ZNF586	2.3.3.0
ZNF589	2.3.3.0
ZNF610	2.3.3.0
ZNF107	2.3.3.0
ZNF320	2.3.3.0
ZNF329	2.3.3.0
MZF1	2.3.3.0
ZNF726	2.3.3.0
ZSCAN25	2.3.3.0
ZSCAN26	2.3.3.0
ZSCAN21	2.3.3.0
ZSCAN22	2.3.3.0
PRDM14	2.3.3.0
GTF3A	2.3.3.0
ZNF624	2.3.3.0
ZNF623	2.3.3.0
ZNF480	2.3.3.0
ZNF483	2.3.3.0
ZNF485	2.3.3.0
ZNF131	2.3.3.0
ZNF311	2.3.3.0
ZNF317	2.3.3.0
ZNF556	2.3.3.0
ZNF554	2.3.3.0
ZNF550	2.3.3.0
ZNF551	2.3.3.0
ZNF791	2.3.3.0
ZSCAN10	2.3.3.0
ZSCAN12	2.3.3.0
ZSCAN16	2.3.3.0
ZNF835	2.3.3.0
ZNF837	2.3.3.0
ZNF83	2.3.3.0
ZNF80	2.3.3.0
ZNF84	2.3.3.0
ZNF497	2.3.3.0
ZNF496	2.3.3.0
ZNF493	2.3.3.0
ZNF121	2.3.3.0
ZNF547	2.3.3.0
ZNF549	2.3.3.0
WT1	2.3.3.0
ZNF154	2.3.3.0
ZNF790	2.3.3.0
ZNF91	2.3.3.0
ZNF793	2.3.3.0
ZNF575	2.3.3.0
ZNF576	2.3.3.0
ZNF205	2.3.3.0
ZNF202	2.3.3.0
ZNF200	2.3.3.0
ZNF208	2.3.3.0
RBAK	2.3.3.0
ZNF135	2.3.3.0
ZIM2	2.3.3.0
ZIM3	2.3.3.0
ZFP62	2.3.3.0
ZNF141	2.3.3.0
ZNF781	2.3.3.0
ZNF789	2.3.3.0
ZNF569	2.3.3.0
ZNF565	2.3.3.0
ZNF560	2.3.3.0
ZNF215	2.3.3.0
GZF1	2.3.3.0
ZBTB40	2.3.3.0
ZBTB44	2.3.3.0
ZBTB48	2.3.3.0
ZBTB49	2.3.3.0
ZNF682	2.3.3.0
ZNF684	2.3.3.0
ZNF197	2.3.3.0
ZNF517	2.3.3.0
ZNF514	2.3.3.0
ZNF425	2.3.3.0
ZNF358	2.3.3.0
ZNF691	2.3.3.0
ZNF695	2.3.3.0
ZNF696	2.3.3.0
ZNF165	2.3.3.0
ZNF768	2.3.3.0
ZNF766	2.3.3.0
ZNF184	2.3.3.0
ZNF182	2.3.3.0
ZNF189	2.3.3.0
ZNF23	2.3.3.0
ZNF22	2.3.3.0
ZNF501	2.3.3.0
ZNF502	2.3.3.0
ZNF506	2.3.3.0
ZNF239	2.3.3.0
ZNF433	2.3.3.0
ZBTB24	2.3.3.0
ZNF34	2.3.3.0
ZNF35	2.3.3.0
ZNF534	2.3.3.0
ZNF530	2.3.3.0
OSR2	2.3.3.0
ZNF441	2.3.3.0
ZNF746	2.3.3.0
ZNF749	2.3.3.0
ZNF529	2.3.3.0
ZNF528	2.3.3.0
ZNF250	2.3.3.0
ZNF416	2.3.3.0
ZNF415	2.3.3.0
MYNN	2.3.3.0
ZFP28	2.3.3.0
PRDM5	2.3.3.0
PRDM6	2.3.3.0
ZNF880	2.3.3.0
ZNF18	2.3.3.0
ZNF19	2.3.3.0
ZNF16	2.3.3.0
ZNF17	2.3.3.0
ZNF10	2.3.3.0
ZNF648	2.3.3.0
ZNF391	2.3.3.0
ZNF461	2.3.3.0
ZNF394	2.3.3.0
ZNF266	2.3.3.0
ZNF267	2.3.3.0
ZNF263	2.3.3.0
ZNF641	2.3.3.0
ZBTB11	2.3.3.0
ZBTB16	2.3.3.0
ZBTB14	2.3.3.0
ZFP92	2.3.3.0
ZNF655	2.3.3.0
ZNF354C	2.3.3.0
ZNF471	2.3.3.0
ZNF275	2.3.3.0
ZNF274	2.3.3.0
ZFP41	2.3.3.0
ZNF718	2.3.3.0
ZNF713	2.3.3.0
ZNF79	2.3.3.0
ZNF70	2.3.3.0
ZNF74	2.3.3.0
ZFP1	2.3.3.0
ZFP3	2.3.3.0
ZNF660	2.3.3.0
ZNF662	2.3.3.0
ZNF664	2.3.3.0
ZNF667	2.3.3.0
ZNF444	2.3.3.0
ZNF449	2.3.3.0
ZKSCAN7	2.3.3.0
ZKSCAN8	2.3.3.0
ZNF287	2.3.3.0
ZIC4	2.3.3.1
ZIC5	2.3.3.1
ZIC2	2.3.3.1
ZIC3	2.3.3.1
ZIC1	2.3.3.1
GLIS2	2.3.3.1
GLIS3	2.3.3.1
GLIS1	2.3.3.1
GLI2	2.3.3.1
GLI3	2.3.3.1
GLI1	2.3.3.1
ZSCAN31	2.3.3.10
ZSCAN23	2.3.3.10
ZSCAN9	2.3.3.10
ZNF24	2.3.3.10
ZNF232	2.3.3.10
ZKSCAN1	2.3.3.10
GLI4	2.3.3.10
ZBTB6	2.3.3.11
ZBTB26	2.3.3.11
ZBTB12	2.3.3.11
ZNF683	2.3.3.12
PRDM1	2.3.3.12
ZNF148	2.3.3.13
ZNF281	2.3.3.13
ZBTB45	2.3.3.14
ZBTB20	2.3.3.14
ZNF524	2.3.3.15
ZNF581	2.3.3.15
ZBTB42	2.3.3.16
ZBTB18	2.3.3.16
OVOL2	2.3.3.17
OVOL1	2.3.3.17
ZNF138	2.3.3.18
ZSCAN32	2.3.3.19
ZNF853	2.3.3.19
ZSCAN29	2.3.3.19
ZNF500	2.3.3.19
ZKSCAN2	2.3.3.19
SCRT1	2.3.3.2
SCRT2	2.3.3.2
SNAI2	2.3.3.2
SNAI3	2.3.3.2
SNAI1	2.3.3.2
FEZF1	2.3.3.20
